Time,Book,Chapter,Verse,Text
1:00,Day 1: Light,1,00,"In the beginning, God said, 'Let there be light!' and light burst forth."
1:01,Genesis,1,01,In the beginning God created the heavens and the earth.
1:02,2 Corinthians,1,02,Grace and peace to you from God our Father and the Lord Jesus Christ.
1:03,Colossians,1,03,"We always thank God, the Father of our Lord Jesus Christ, when we pray for you,"
1:04,2 Corinthians,1,04,"who comforts us in all our troubles, so that we can comfort those in any trouble with the comfort we ourselves receive from God."
1:05,Proverbs,1,05,"let the wise listen and add to their learning, and let the discerning get guidance-"
1:06,2 Timothy,1,06,"For this reason I remind you to fan into flame the gift of God, which is in you through the laying on of my hands."
1:07,Joshua,1,07,"""Be strong and very courageous. Be careful to obey all the law my servant Moses gave you; do not turn from it to the right or to the left, that you may be successful wherever you go."
1:08,Jeremiah,1,08,"Do not be afraid of them, for I am with you and will rescue you,"" declares the Lord."
1:09,Philippians,1,09,"And this is my prayer: that your love may abound more and more in knowledge and depth of insight,"
1:10,Ecclesiastes,1,10,"Is there anything of which one can say, ""Look! This is something new""? It was here already, long ago; it was here before our time."
1:11,Mark,1,11,"And a voice came from heaven: ""You are my Son, whom I love; with you I am well pleased."""
1:12,James,1,12,"Blessed is the one who perseveres under trial because, having stood the test, that person will receive the crown of life that the Lord has promised to those who love him."
1:13,Habakkuk,1,13,Your eyes are too pure to look on evil; you cannot tolerate wrongdoing. Why then do you tolerate the treacherous? Why are you silent while the wicked swallow up those more righteous than themselves?
1:14,Philippians,1,14,"And because of my chains, most of the brothers and sisters have become confident in the Lord and dare all the more to proclaim the gospel without fear."
1:15,2 Chronicles,1,15,"The king made silver and gold as common in Jerusalem as stones, and cedar as plentiful as sycamore-fig trees in the foothills."
1:16,Isaiah,1,16,Wash and make yourselves clean. Take your evil deeds out of my sight; stop doing wrong.
1:17,Jonah,1,17,"Now the Lord provided a huge fish to swallow Jonah, and Jonah was in the belly of the fish three days and three nights."
1:18,Exodus,1,18,"Then the king of Egypt summoned the midwives and asked them, ""Why have you done this? Why have you let the boys live?"""
1:19,Proverbs,1,19,Such are the paths of all who go after ill-gotten gain; it takes away the life of those who get it.
1:20,Romans,1,20,"For since the creation of the world God's invisible qualities-his eternal power and divine nature-have been clearly seen, being understood from what has been made, so that people are without excuse."
1:21,Philippians,1,21,"For to me, to live is Christ and to die is gain."
1:22,Colossians,1,22,"But now he has reconciled you by Christ's physical body through death to present you holy in his sight, without blemish and free from accusation-"
1:23,John,1,23,"John replied in the words of Isaiah the prophet, ""I am the voice of one calling in the wilderness, 'Make straight the way for the Lord.'"""
1:24,1 Peter,1,24,"For, ""All people are like grass, and all their glory is like the flowers of the field; the grass withers and the flowers fall,"
1:25,1 Peter,1,25,"but the word of the Lord endures forever."" And this is the word that was preached to you."
1:26,1 Corinthians,1,26,"Brothers and sisters, think of what you were when you were called. Not many of you were wise by human standards; not many were influential; not many were of noble birth."
1:27,1 Corinthians,1,27,But God chose the foolish things of the world to shame the wise; God chose the weak things of the world to shame the strong.
1:28,Genesis,1,28,"God blessed them and said to them, ""Be fruitful and increase in number; fill the earth and subdue it. Rule over the fish in the sea and the birds in the sky and over every living creature that moves on the ground."""
1:29,Philippians,1,29,"For it has been granted to you on behalf of Christ not only to believe in him, but also to suffer for him,"
1:30,Deuteronomy,1,30,"The Lord your God, who is going before you, will fight for you, as he did for you in Egypt, before your very eyes,"
1:31,Genesis,1,31,"God saw all that he had made, and it was very good. And there was evening, and there was morning-the sixth day."
1:32,Luke,1,32,"He will be great and will be called the Son of the Most High. The Lord God will give him the throne of his father David,"
1:33,Proverbs,1,33,"but whoever listens to me will live in safety and be at ease, without fear of harm."""
1:34,Mark,1,34,"and Jesus healed many who had various diseases. He also drove out many demons, but he would not let the demons speak because they knew who he was."
1:35,Luke,1,35,"The angel answered, ""The Holy Spirit will come on you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God."
1:36,John,1,36,"When he saw Jesus passing by, he said, ""Look, the Lamb of God!"""
1:37,Luke,1,37,"For no word from God will ever fail."""
1:38,Luke,1,38,"""I am the Lord's servant,"" Mary answered. ""May your word to me be fulfilled."" Then the angel left her."
1:39,Deuteronomy,1,39,"And the little ones that you said would be taken captive, your children who do not yet know good from bad-they will enter the land. I will give it to them and they will take possession of it."
1:40,1 Kings,1,40,"And all the people went up after him, playing pipes and rejoicing greatly, so that the ground shook with the sound."
1:41,Luke,1,41,"When Elizabeth heard Mary's greeting, the baby leaped in her womb, and Elizabeth was filled with the Holy Spirit."
1:42,Mark,1,42,Immediately the leprosy left him and he was cleansed.
1:43,John,1,43,"The next day Jesus decided to leave for Galilee. Finding Philip, he said to him, ""Follow me."""
1:44,Mark,1,44,"""See that you don't tell this to anyone. But go, show yourself to the priest and offer the sacrifices that Moses commanded for your cleansing, as a testimony to them."""
1:45,Luke,1,45,"Blessed is she who has believed that the Lord would fulfill his promises to her!"""
1:46,John,1,46,"""Nazareth! Can anything good come from there?"" Nathanael asked. ""Come and see,"" said Philip."
1:47,Luke,1,47,"and my spirit rejoices in God my Savior,"
1:48,1 Kings,1,48,"and said, 'Praise be to the Lord, the God of Israel, who has allowed my eyes to see a successor on my throne today.'"""
1:49,John,1,49,"Then Nathanael declared, ""Rabbi, you are the Son of God; you are the king of Israel."""
1:50,John,1,50,"Jesus said, ""You believe because I told you I saw you under the fig tree. You will see greater things than that."""
1:51,Luke,1,51,He has performed mighty deeds with his arm; he has scattered those who are proud in their inmost thoughts.
1:52,1 Kings,1,52,"Solomon replied, ""If he shows himself to be worthy, not a hair of his head will fall to the ground; but if evil is found in him, he will die."""
1:53,Luke,1,53,He has filled the hungry with good things but has sent the rich away empty.
1:54,Luke,1,54,"He has helped his servant Israel, remembering to be merciful"
1:55,Luke,1,55,"to Abraham and his descendants forever, just as he promised our ancestors."""
1:56,Luke,1,56,Mary stayed with Elizabeth for about three months and then returned home.
1:57,Luke,1,57,"When it was time for Elizabeth to have her baby, she gave birth to a son."
1:58,Luke,1,58,"Her neighbors and relatives heard that the Lord had shown her great mercy, and they shared her joy."
1:59,Luke,1,59,"On the eighth day they came to circumcise the child, and they were going to name him after his father Zechariah,"
2:00,Day 2: The Expanse,2,00,God created a vault to separate the waters above from the waters below.
2:01,Romans,2,01,"You, therefore, have no excuse, you who pass judgment on someone else, for at whatever point you judge another, you are condemning yourself, because you who pass judgment do the same things."
2:02,Jonah,2,02,"He said: ""In my distress I called to the Lord, and he answered me. From deep in the realm of the dead I called for help, and you listened to my cry."
2:03,Habakkuk,2,03,"For the revelation awaits an appointed time; it speaks of the end and will not prove false. Though it linger, wait for it; it will certainly come and will not delay."
2:04,Acts,2,04,All of them were filled with the Holy Spirit and began to speak in other tongues as the Spirit enabled them.
